policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp,funding_category,impact_category,summary_word_count,goals_word_count,fulltext_word_count,total_text_length
P1145,National Secondary Education Reform 78,Secondary,Karnataka,2023,Urban Students,Proposed,93.43,"State Education Department, Private Partners",0.818,This policy aims to improve teacher quality in Secondary by providing public-private partnerships across Karnataka. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Secondary by providing public-private partnerships across Karnataka. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Focus on equity.","policy id: p1145. title: national secondary education reform 78. sector: secondary. region: karnataka. year: 2023. target group: urban students. status: proposed. funding: $93.43m usd. impact score: 0.818. stakeholders: state education department, private partners. summary: this policy aims to improve teacher quality in secondary by providing public-private partnerships across karnataka. it focuses on gender equity.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: this policy aims to improve teacher quality in secondary by providing public-private partnerships across karnataka. it focuses on gender equity. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. focus on equity.",Very High,Very High Impact,20,12,39,71
P1367,State Secondary Education Reform 29,Higher Education,Tamil Nadu,2020,All,Implemented,7.94,"State Education Department, Private Partners",0.85,A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets All and aims to reduce dropout rates.,Increase learning outcomes score by 26% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through grants to schools. Targets All and aims to reduce dropout rates. Goals: Increase learning outcomes score by 26% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Budget allocations defined.,"policy id: p1367. title: state secondary education reform 29. sector: higher education. region: tamil nadu. year: 2020. target group: all. status: implemented. funding: $7.94m usd. impact score: 0.85. stakeholders: state education department, private partners. summary: a nationwide/state-level initiative to strengthen learning outcomes through grants to schools. targets all and aims to reduce dropout rates.. goals: increase learning outcomes score by 26% within 2 years and reduce disparities between rural and urban areas.. full description: a nationwide/state-level initiative to strengthen learning outcomes through grants to schools. targets all and aims to reduce dropout rates. goals: increase learning outcomes score by 26% within 2 years and reduce disparities between rural and urban areas. budget allocations defined. budget allocations defined.",High,Very High Impact,19,17,43,79
P1290,National Secondary Education Reform 21,Secondary,Maharashtra,2015,Rural Students,Implemented,0.2,"State Education Department, Private Partners",0.283,"Policy to enhance vocational skills and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance vocational skills and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity.","policy id: p1290. title: national secondary education reform 21. sector: secondary. region: maharashtra. year: 2015. target group: rural students. status: implemented. funding: $0.2m usd. impact score: 0.283. stakeholders: state education department, private partners. summary: policy to enhance vocational skills and assessment quality using grants to schools. includes capacity-building, monitoring and community engagement.. goals: train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.. full description: policy to enhance vocational skills and assessment quality using grants to schools. includes capacity-building, monitoring and community engagement. goals: train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. focus on equity. focus on equity.",Low,Low Impact,18,16,41,75
P1430,National Secondary Education Reform 10,Vocational,Uttar Pradesh,2022,Disadvantaged Groups,Pilot,3.76,"State Education Department, Private Partners",0.747,This policy aims to improve learning outcomes in Vocational by providing scholarship schemes across Uttar Pradesh. It focuses on marginalized communities.,Increase learning outcomes score by 12% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve learning outcomes in Vocational by providing scholarship schemes across Uttar Pradesh. It focuses on marginalized communities. Goals: Increase learning outcomes score by 12% within 1 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined.,"policy id: p1430. title: national secondary education reform 10. sector: vocational. region: uttar pradesh. year: 2022. target group: disadvantaged groups. status: pilot. funding: $3.76m usd. impact score: 0.747. stakeholders: state education department, private partners. summary: this policy aims to improve learning outcomes in vocational by providing scholarship schemes across uttar pradesh. it focuses on marginalized communities.. goals: increase learning outcomes score by 12% within 1 years and reduce disparities between rural and urban areas.. full description: this policy aims to improve learning outcomes in vocational by providing scholarship schemes across uttar pradesh. it focuses on marginalized communities. goals: increase learning outcomes score by 12% within 1 years and reduce disparities between rural and urban areas. focus on equity. budget allocations defined.",Medium,Very High Impact,21,17,45,83
P1147,National Primary Education Reform 90,Early Childhood,West Bengal,2024,Students,Implemented,93.68,"Edtech Companies, Universities",0.297,This policy aims to improve early childhood development in Early Childhood by providing grants to schools across West Bengal. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve early childhood development in Early Childhood by providing grants to schools across West Bengal. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Budget allocations defined.","policy id: p1147. title: national primary education reform 90. sector: early childhood. region: west bengal. year: 2024. target group: students. status: implemented. funding: $93.68m usd. impact score: 0.297. stakeholders: edtech companies, universities. summary: this policy aims to improve early childhood development in early childhood by providing grants to schools across west bengal. it focuses on urban inclusion.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: this policy aims to improve early childhood development in early childhood by providing grants to schools across west bengal. it focuses on urban inclusion. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. focus on equity. budget allocations defined.",Very High,Low Impact,24,12,43,79
P1223,District Early Childhood Education Reform 49,Secondary,Karnataka,2024,All,Under Review,9.81,"Ministry Of Education, Local Ngos",0.686,"Policy to enhance early childhood development and safety standards using curriculum reform. Includes capacity-building, monitoring and community engagement.","Train 4567 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance early childhood development and safety standards using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Train 4567 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity.","policy id: p1223. title: district early childhood education reform 49. sector: secondary. region: karnataka. year: 2024. target group: all. status: under review. funding: $9.81m usd. impact score: 0.686. stakeholders: ministry of education, local ngos. summary: policy to enhance early childhood development and safety standards using curriculum reform. includes capacity-building, monitoring and community engagement.. goals: train 4567 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.. full description: policy to enhance early childhood development and safety standards using curriculum reform. includes capacity-building, monitoring and community engagement. goals: train 4567 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. focus on equity. focus on equity.",High,High Impact,18,16,41,75
P1419,District Secondary Education Reform 62,Higher Education,Maharashtra,2021,Urban Students,Pilot,9.87,"Central Government, Donors",0.547,"Policy to enhance vocational skills and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 13% within 2 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and community participation using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 13% within 2 years and reduce disparities between rural and urban areas. Includes evaluation. Focus on equity.","policy id: p1419. title: district secondary education reform 62. sector: higher education. region: maharashtra. year: 2021. target group: urban students. status: pilot. funding: $9.87m usd. impact score: 0.547. stakeholders: central government, donors. summary: policy to enhance vocational skills and community participation using curriculum reform. includes capacity-building, monitoring and community engagement.. goals: increase vocational skills score by 13% within 2 years and reduce disparities between rural and urban areas.. full description: policy to enhance vocational skills and community participation using curriculum reform. includes capacity-building, monitoring and community engagement. goals: increase vocational skills score by 13% within 2 years and reduce disparities between rural and urban areas. includes evaluation. focus on equity.",High,High Impact,17,17,40,74
P1075,State Early Childhood Education Reform 5,Early Childhood,Tamil Nadu,2025,Urban Students,Under Review,55.52,"Ministry Of Education, Local Ngos",0.611,A nationwide/state-level initiative to strengthen early childhood development through digital device distribution. Targets Urban Students and aims to improve retention.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through digital device distribution. Targets Urban Students and aims to improve retention. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Stakeholder consultations planned.","policy id: p1075. title: state early childhood education reform 5. sector: early childhood. region: tamil nadu. year: 2025. target group: urban students. status: under review. funding: $55.52m usd. impact score: 0.611. stakeholders: ministry of education, local ngos. summary: a nationwide/state-level initiative to strengthen early childhood development through digital device distribution. targets urban students and aims to improve retention.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: a nationwide/state-level initiative to strengthen early childhood development through digital device distribution. targets urban students and aims to improve retention. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. stakeholder consultations planned.",Very High,High Impact,20,12,38,70
P1271,State Secondary Education Reform 83,Vocational,Maharashtra,2017,Women,Pilot,14.21,"Ministry Of Education, Local Ngos",0.912,A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Women and aims to raise completion rates.,Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through digital device distribution. Targets Women and aims to raise completion rates. Goals: Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas. Focus on equity. Focus on equity.,"policy id: p1271. title: state secondary education reform 83. sector: vocational. region: maharashtra. year: 2017. target group: women. status: pilot. funding: $14.21m usd. impact score: 0.912. stakeholders: ministry of education, local ngos. summary: a nationwide/state-level initiative to strengthen vocational skills through digital device distribution. targets women and aims to raise completion rates.. goals: increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.. full description: a nationwide/state-level initiative to strengthen vocational skills through digital device distribution. targets women and aims to raise completion rates. goals: increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas. focus on equity. focus on equity.",High,Very High Impact,19,17,43,79
P1100,State Primary Education Reform 45,Vocational,Rajasthan,2020,Disadvantaged Groups,Pilot,0.16,"Central Government, Donors",0.264,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Disadvantaged Groups and aims to boost employability.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Disadvantaged Groups and aims to boost employability. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Includes evaluation.","policy id: p1100. title: state primary education reform 45. sector: vocational. region: rajasthan. year: 2020. target group: disadvantaged groups. status: pilot. funding: $0.16m usd. impact score: 0.264. stakeholders: central government, donors. summary: a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets disadvantaged groups and aims to boost employability.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: a nationwide/state-level initiative to strengthen early childhood development through curriculum reform. targets disadvantaged groups and aims to boost employability. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. includes evaluation.",Low,Low Impact,19,12,37,68
P1299,National Primary Education Reform 62,Higher Education,Delhi,2020,Teachers,Pilot,33.78,"Teachers' Unions, Community Leaders",0.126,This policy aims to improve learning outcomes in Higher Education by providing teacher training programs across Delhi. It focuses on gender equity.,"Train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve learning outcomes in Higher Education by providing teacher training programs across Delhi. It focuses on gender equity. Goals: Train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity.","policy id: p1299. title: national primary education reform 62. sector: higher education. region: delhi. year: 2020. target group: teachers. status: pilot. funding: $33.78m usd. impact score: 0.126. stakeholders: teachers' unions, community leaders. summary: this policy aims to improve learning outcomes in higher education by providing teacher training programs across delhi. it focuses on gender equity.. goals: train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.. full description: this policy aims to improve learning outcomes in higher education by providing teacher training programs across delhi. it focuses on gender equity. goals: train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. focus on equity. focus on equity.",Very High,Low Impact,22,16,45,83
P1345,National Higher Education Education Reform 67,Early Childhood,Uttar Pradesh,2020,Urban Students,Proposed,15.67,"Central Government, Donors",0.173,"Policy to enhance learning outcomes and safety standards using curriculum reform. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and safety standards using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Timeline set.","policy id: p1345. title: national higher education education reform 67. sector: early childhood. region: uttar pradesh. year: 2020. target group: urban students. status: proposed. funding: $15.67m usd. impact score: 0.173. stakeholders: central government, donors. summary: policy to enhance learning outcomes and safety standards using curriculum reform. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance learning outcomes and safety standards using curriculum reform. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. stakeholder consultations planned. timeline set.",High,Low Impact,17,12,35,64
P1432,National Primary Education Reform 70,Higher Education,Maharashtra,2023,All,Pilot,5.02,"State Education Department, Private Partners",0.121,This policy aims to improve digital access in Higher Education by providing curriculum reform across Maharashtra. It focuses on gender equity.,Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve digital access in Higher Education by providing curriculum reform across Maharashtra. It focuses on gender equity. Goals: Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas. Includes evaluation. Focus on equity.,"policy id: p1432. title: national primary education reform 70. sector: higher education. region: maharashtra. year: 2023. target group: all. status: pilot. funding: $5.02m usd. impact score: 0.121. stakeholders: state education department, private partners. summary: this policy aims to improve digital access in higher education by providing curriculum reform across maharashtra. it focuses on gender equity.. goals: increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.. full description: this policy aims to improve digital access in higher education by providing curriculum reform across maharashtra. it focuses on gender equity. goals: increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas. includes evaluation. focus on equity.",High,Low Impact,21,17,44,82
P1456,National Secondary Education Reform 39,Secondary,Rajasthan,2018,Disadvantaged Groups,Pilot,72.74,"Teachers' Unions, Community Leaders",0.174,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Disadvantaged Groups and aims to improve retention.,"Train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Disadvantaged Groups and aims to improve retention. Goals: Train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity.","policy id: p1456. title: national secondary education reform 39. sector: secondary. region: rajasthan. year: 2018. target group: disadvantaged groups. status: pilot. funding: $72.74m usd. impact score: 0.174. stakeholders: teachers' unions, community leaders. summary: a nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. targets disadvantaged groups and aims to improve retention.. goals: train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.. full description: a nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. targets disadvantaged groups and aims to improve retention. goals: train 958 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. includes evaluation. focus on equity.",Very High,Low Impact,17,16,39,72
P1157,National Early Childhood Education Reform 21,Primary,Delhi,2023,Urban Students,Implemented,1.28,"State Education Department, Private Partners",0.845,"Policy to enhance infrastructure and community participation using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance infrastructure and community participation using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity.","policy id: p1157. title: national early childhood education reform 21. sector: primary. region: delhi. year: 2023. target group: urban students. status: implemented. funding: $1.28m usd. impact score: 0.845. stakeholders: state education department, private partners. summary: policy to enhance infrastructure and community participation using grants to schools. includes capacity-building, monitoring and community engagement.. goals: train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.. full description: policy to enhance infrastructure and community participation using grants to schools. includes capacity-building, monitoring and community engagement. goals: train 3002 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. focus on equity. focus on equity.",Medium,Very High Impact,17,16,40,73
P1134,National Higher Education Education Reform 99,Primary,Punjab,2025,Disadvantaged Groups,Proposed,16.11,"Ministry Of Education, Local Ngos",0.139,"Policy to enhance learning outcomes and safety standards using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance learning outcomes and safety standards using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Includes evaluation.","policy id: p1134. title: national higher education education reform 99. sector: primary. region: punjab. year: 2025. target group: disadvantaged groups. status: proposed. funding: $16.11m usd. impact score: 0.139. stakeholders: ministry of education, local ngos. summary: policy to enhance learning outcomes and safety standards using teacher training programs. includes capacity-building, monitoring and community engagement.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: policy to enhance learning outcomes and safety standards using teacher training programs. includes capacity-building, monitoring and community engagement. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. includes evaluation.",High,Low Impact,18,12,35,65
P1029,State Secondary Education Reform 12,Higher Education,Gujarat,2018,All,Pilot,0.23,"Central Government, Donors",0.857,"Policy to enhance infrastructure and assessment quality using curriculum reform. Includes capacity-building, monitoring and community engagement.",Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.,"Policy to enhance infrastructure and assessment quality using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Includes evaluation.","policy id: p1029. title: state secondary education reform 12. sector: higher education. region: gujarat. year: 2018. target group: all. status: pilot. funding: $0.23m usd. impact score: 0.857. stakeholders: central government, donors. summary: policy to enhance infrastructure and assessment quality using curriculum reform. includes capacity-building, monitoring and community engagement.. goals: increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.. full description: policy to enhance infrastructure and assessment quality using curriculum reform. includes capacity-building, monitoring and community engagement. goals: increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas. stakeholder consultations planned. includes evaluation.",Low,Very High Impact,16,16,38,70
P1410,District Higher Education Education Reform 34,Vocational,Tamil Nadu,2021,Urban Students,Proposed,74.12,"State Education Department, Private Partners",0.577,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Urban Students and aims to improve retention.,Increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Urban Students and aims to improve retention. Goals: Increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set.,"policy id: p1410. title: district higher education education reform 34. sector: vocational. region: tamil nadu. year: 2021. target group: urban students. status: proposed. funding: $74.12m usd. impact score: 0.577. stakeholders: state education department, private partners. summary: a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets urban students and aims to improve retention.. goals: increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas.. full description: a nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. targets urban students and aims to improve retention. goals: increase learning outcomes score by 37% within 5 years and reduce disparities between rural and urban areas. budget allocations defined. timeline set.",Very High,High Impact,18,17,41,76
P1344,National Primary Education Reform 48,Higher Education,Rajasthan,2020,Students,Proposed,2.52,"Edtech Companies, Universities",0.756,"Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 2919 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 2919 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Includes evaluation.","policy id: p1344. title: national primary education reform 48. sector: higher education. region: rajasthan. year: 2020. target group: students. status: proposed. funding: $2.52m usd. impact score: 0.756. stakeholders: edtech companies, universities. summary: policy to enhance digital access and governance using digital device distribution. includes capacity-building, monitoring and community engagement.. goals: train 2919 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.. full description: policy to enhance digital access and governance using digital device distribution. includes capacity-building, monitoring and community engagement. goals: train 2919 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. includes evaluation.",Medium,Very High Impact,17,16,39,72
P1227,State Vocational Education Reform 98,Vocational,Kerala,2024,Teachers,Implemented,0.41,"Teachers' Unions, Community Leaders",0.42,A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Teachers and aims to improve retention.,Increase digital access score by 6% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through curriculum reform. Targets Teachers and aims to improve retention. Goals: Increase digital access score by 6% within 5 years and reduce disparities between rural and urban areas. Budget allocations defined. Includes evaluation.,"policy id: p1227. title: state vocational education reform 98. sector: vocational. region: kerala. year: 2024. target group: teachers. status: implemented. funding: $0.41m usd. impact score: 0.42. stakeholders: teachers' unions, community leaders. summary: a nationwide/state-level initiative to strengthen digital access through curriculum reform. targets teachers and aims to improve retention.. goals: increase digital access score by 6% within 5 years and reduce disparities between rural and urban areas.. full description: a nationwide/state-level initiative to strengthen digital access through curriculum reform. targets teachers and aims to improve retention. goals: increase digital access score by 6% within 5 years and reduce disparities between rural and urban areas. budget allocations defined. includes evaluation.",Low,Medium Impact,17,17,40,74
P1243,National Early Childhood Education Reform 91,Vocational,Rajasthan,2024,Teachers,Pilot,0.12,"State Education Department, Private Partners",0.912,A nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. Targets Teachers and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. Targets Teachers and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Budget allocations defined.","policy id: p1243. title: national early childhood education reform 91. sector: vocational. region: rajasthan. year: 2024. target group: teachers. status: pilot. funding: $0.12m usd. impact score: 0.912. stakeholders: state education department, private partners. summary: a nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. targets teachers and aims to reduce dropout rates.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: a nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. targets teachers and aims to reduce dropout rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. timeline set. budget allocations defined.",Low,Very High Impact,19,12,37,68
P1190,State Early Childhood Education Reform 14,Secondary,Punjab,2016,All,Under Review,18.37,"State Education Department, Private Partners",0.334,This policy aims to improve vocational skills in Secondary by providing grants to schools across Punjab. It focuses on literacy and numeracy.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve vocational skills in Secondary by providing grants to schools across Punjab. It focuses on literacy and numeracy. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Stakeholder consultations planned.","policy id: p1190. title: state early childhood education reform 14. sector: secondary. region: punjab. year: 2016. target group: all. status: under review. funding: $18.37m usd. impact score: 0.334. stakeholders: state education department, private partners. summary: this policy aims to improve vocational skills in secondary by providing grants to schools across punjab. it focuses on literacy and numeracy.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: this policy aims to improve vocational skills in secondary by providing grants to schools across punjab. it focuses on literacy and numeracy. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. stakeholder consultations planned.",High,Medium Impact,22,12,41,75
P1142,State Higher Education Education Reform 58,Secondary,Karnataka,2024,Women,Implemented,59.91,"Edtech Companies, Universities",0.526,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Women and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Women and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Timeline set.","policy id: p1142. title: state higher education education reform 58. sector: secondary. region: karnataka. year: 2024. target group: women. status: implemented. funding: $59.91m usd. impact score: 0.526. stakeholders: edtech companies, universities. summary: a nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. targets women and aims to raise completion rates.. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.. full description: a nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. targets women and aims to raise completion rates. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. timeline set.",Very High,High Impact,19,12,37,68
P1265,District Higher Education Education Reform 95,Early Childhood,Karnataka,2019,Urban Students,Proposed,12.58,"Teachers' Unions, Community Leaders",0.324,"Policy to enhance early childhood development and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 166 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","Policy to enhance early childhood development and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 166 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Includes evaluation.","policy id: p1265. title: district higher education education reform 95. sector: early childhood. region: karnataka. year: 2019. target group: urban students. status: proposed. funding: $12.58m usd. impact score: 0.324. stakeholders: teachers' unions, community leaders. summary: policy to enhance early childhood development and assessment quality using digital device distribution. includes capacity-building, monitoring and community engagement.. goals: train 166 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.. full description: policy to enhance early childhood development and assessment quality using digital device distribution. includes capacity-building, monitoring and community engagement. goals: train 166 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. budget allocations defined. includes evaluation.",High,Medium Impact,19,15,40,74
P1138,National Early Childhood Education Reform 18,Vocational,Maharashtra,2024,Women,Proposed,0.36,"State Education Department, Private Partners",0.311,This policy aims to improve teacher quality in Vocational by providing digital device distribution across Maharashtra. It focuses on urban inclusion.,Increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Vocational by providing digital device distribution across Maharashtra. It focuses on urban inclusion. Goals: Increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.,"policy id: p1138. title: national early childhood education reform 18. sector: vocational. region: maharashtra. year: 2024. target group: women. status: proposed. funding: $0.36m usd. impact score: 0.311. stakeholders: state education department, private partners. summary: this policy aims to improve teacher quality in vocational by providing digital device distribution across maharashtra. it focuses on urban inclusion.. goals: increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas.. full description: this policy aims to improve teacher quality in vocational by providing digital device distribution across maharashtra. it focuses on urban inclusion. goals: increase teacher quality score by 22% within 2 years and reduce disparities between rural and urban areas. stakeholder consultations planned. focus on equity.",Low,Medium Impact,21,17,45,83
